index,user_id,user_location,user_bio,hashtag,tokens,Segmented#
0,343626154.0,USA,#TrueToAtlanta...ATL Braves 21 🏆 ATLUTD⭐️ ...21 Orange 🍊 Bowl playoffs...#GoDawgs,"['TrueToAtlanta', 'GoDawgs']",atl brave atlutd orange bowl playoffs,true to atlanta  go dawgs
1,1.18e+18,"Cleveland, OH","I'm a nerdy guy who loves art, music, wrestling and comics. I'm poly!",[],nerdy guy love art music wrestle comics poly,
2,1.44e+18,Harrisburg Pa,No worries Lil Ms Sunshine cause I don't mess with the woman in the moon either she's a civil right violation that I will be suing for defamation,[],worry lil sunshine cause mess woman moon civil right violation sue defamatio,
3,3169218336.0,"Houston, TX, USA, The Ghetto","Fuck yo feelings!
Follow me please, I follow back! ATL born, Nigerian raised, HTown living, 29 years old. Proud #lgbtq+ ally #feminist #blacklivesmatter #Army💜","['lgbtq', 'feminist', 'blacklivesmatter', 'Army']",fuck feel follow follow atl bear nigerian raise htown live years old proud ally,lgbtq feminist blacklivesmatter  army
4,121972044.0,"Denver, CO",I am a huge sports and music fan. I graduated from Regis University. I have lived in Denver and Atlanta for most times.,[],huge sport music fan graduate regis university live denver atlanta time,
5,1.39e+18,King County WA,"This is not, nor endorsed by, any Government Entity. This is a side project, and no guarantees or warranties are made about quality or timely-ness",[],endorse government entity project guarantee warranties quality timely ness,
6,23490526.0,Utah,I'm a writer and a cult film fanatic who loves politics. https://www.facebook.com/doug1963,[],writer cult film fanatic love politics,
7,1.31e+18,"new york, united states.","Animals have come to mean so much in our lives
😎Follow🇺🇲 our adventures🤩
❤️❤️❤️dog❤️❤️❤️
😎DM for collab😍❤️👍
#dog_lovers",['dog_lovers'],animals come mean live follow adventure dog collab,dog_ lovers
8,8.07e+17,#ByeByePortman,"Mother, Volunteer,#RESIST, Industrial Engineer..... KINDNESS COUNTS,SURVIVOR, & MADE RAPIST PAY THE MEDICAL BILL. 1 Daughter ‘Left’ in 11/17. Suicide Hurts.",['RESIST'],mother volunteer industrial engineer kindness count survivor rapist pay medical daughter leave suicide hurt,resist
9,271117791.0,Ohio,Freelance writer/blogger - Free Thinker - Open-minded - Activist - Spiritual - Jack-of-all-Trades - Check out my photography and digital for sale.. link below,[],freelance writer blogger free thinker open mind activist spiritual jack trade check photography digital sale link,
10,3233233477.0,"New Orleans, LA",bad as the boys.,[],bad boys,
11,132615175.0,"San Fernando Valley, CA","SFV Chicana HERstorian, Ph.D Student @ University of California, Riverside, published author, non-profit board member, and WonderMom 💖 PSN: eternal_dayzz.",[],sfv chicana herstorian student university california riverside publish author non profit board member wondermom psn eternal dayzz,
12,1.04e+18,"San Francisco, CA",Music Publisher/Mixer/Producer 🏆 Toro y Moi/KFlay/Dude York/Blimes&Gab/Beat Connection/Ricky Lake/GRMLN/Tia Nomore/Text Me Records @fwbtweets $FWB,[],music publisher mixer producer toro moi kflay dude york blimes gab beat connection ricky lake grmln tia nomore text record fwb,
